title,release_date,album,lyrics
Smells Like Teen Spirit,1991-09-10,Nevermind (Super Deluxe Edition),"312 ContributorsTranslationsРусскийTürkçeEspañolPortuguêsItalianoHebrewFrançaisDeutschSmells Like Teen Spirit Lyrics
Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay

I'm worse at what I do best
And for this gift, I feel blessed
Our little group has always been
And always will until the end
You might also like
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah

Hey, yay


And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello
With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial417Embed"
Come as You Are,1991-09-24,Nevermind (Super Deluxe Edition),"184 ContributorsTranslationsРусскийEspañolPortuguêsItalianoFrançaisEestiDeutschCome as You Are Lyrics
Come as you are, as you were
As I want you to be
As a friend, as a friend
As an old enemy
Take your time, hurry up
Choice is yours, don't be late
Take a rest as a friend
As an old memoria

Memoria
Memoria
Memoria
Come doused in mud, soaked in bleach
As I want you to be
As a trend, as a friend
As an old memoria

Memoria
Memoria
Memoria
You might also like
And I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun


'Ria
Memoria
Memoria
Memoria (No, I don't have a gun)

Well, I swear that I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun
No, I don't have a gun

(Memoria)
(Memoria)152Embed"
Heart-Shaped Box,1993-08-30,In Utero (20th Anniversary Super Deluxe),"150 ContributorsTranslationsPortuguêsРусскийEspañolDeutschHeart-Shaped Box Lyrics
She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice

Meat-eating orchids forgive no one just yet
Cut myself on angel hair and baby's breath
Broken hymen of 'Your Highness', I'm left black
Throw down your umbilical noose so I can climb right back

Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice
You might also like

She eyes me like a Pisces when I am weak
I've been locked inside your heart-shaped box for weeks
I've been drawn into your magnet tar pit trap
I wish I could eat your cancer when you turn black

Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Hey! Wait! I got a new complaint
Forever in debt to your priceless advice
Your advice
Your advice
Your advice148Embed"
Lithium,1991-09-24,Nevermind (Super Deluxe Edition),"171 ContributorsTranslationsРусскийEspañolPortuguêsItalianoFrançaisDeutschLithium Lyrics
I'm so happy, 'cause today I found my friends
They're in my head
I'm so ugly, that's okay, 'cause so are you
Broke our mirrors
Sunday morning is everyday, for all I care
And I'm not scared
Light my candles in a daze, 'cause I've found God

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I'm so lonely, that's okay, I shaved my head
And I'm not sad
And just maybe I'm to blame for all I've heard
But I'm not sure
I'm so excited, I can't wait to meet you there
And I don't care
I'm so horny, that's okay, my will is good
You might also like
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I'm so happy, 'cause today I found my friends
They're in my head
I'm so ugly, that's okay, 'cause so are you
Broke our mirrors
Sunday morning is everyday, for all I care
And I'm not scared
Light my candles in a daze, 'cause I've found God
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack
I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack157Embed"
Drain You,1991-09-24,Nevermind (Super Deluxe Edition),"124 ContributorsTranslationsРусскийEspañolPortuguêsItalianoDrain You Lyrics
One baby to another says, ""I'm lucky to've met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
I like you

With eyes so dilated, I've become your pupil
You taught me everything without a poison apple
The water is so yellow, I'm a healthy student
Indebted and so grateful, vacuum out the fluids

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
I like you
You might also like
You, you, you
You, you
Ahh!

One baby to another says, ""I'm lucky to've met you""
I don't care what you think unless it is about me
It is now my duty to completely drain you
I travel through a tube and end up in your infection

Chew your meat for you
Pass it back and forth
In a passionate kiss
From my mouth to yours
Sloppy lips to lips
You're my vitamins
I like you45Embed"
Polly,1991-09-24,Nevermind (Super Deluxe Edition),"133 ContributorsTranslationsРусскийEspañolPortuguêsItalianoFrançaisPolly Lyrics
Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blowtorch

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself

Polly wants a cracker
Maybe she would like some food
She asked me to untie her
A chase would be nice for a few

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself
You might also like
Polly said
Polly says her back hurts
She's just as bored as me
She caught me off my guard
Amazes me, the will of instinct

Isn't me, have a seed
Let me clip dirty wings
Let me take a ride, cut yourself
Want some help, please myself
Got some rope, have been told
Promise you, have been true
Let me take a ride, cut yourself
Want some help, please myself74Embed"
Something in the Way,1991-09-24,Nevermind (Super Deluxe Edition),"149 ContributorsTranslationsРусскийPortuguêsFrançaisItalianoSomething in the Way Lyrics
Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm livin' off of grass and the drippings from the ceilin'
It's okay to eat fish 'cause they don't have any feelings

Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Underneath the bridge, tarp has sprung a leak
And the animals I've trapped have all become my pets
And I'm livin' off of grass and the drippings from the ceilin'
It's okay to eat fish 'cause they don't have any feelings

Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmm
Something in the way, mmm
Something in the way, yeah, mmmYou might also like76Embed"
In Bloom,1992-11-30,Nevermind (Super Deluxe Edition),"131 ContributorsTranslationsРусскийEspañolPortuguêsItalianoFrançaisIn Bloom Lyrics
Sell the kids for food
Weather changes moods
Spring is here again
Reproductive glands
He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say
He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say, ""Yeah""

We can have some more
Nature is a whore
Bruises on the fruit
Tender age in bloom

He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say
He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say, ""Yeah""
You might also like

He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means, and I say
He's the one who likes all our pretty songs, and he
Likes to sing along and he likes to shoot his gun, but he
Knows not what it means
Knows not what it means
Knows not what it means
Knows not what it means, and I say, ""Yeah""68Embed"
Rape Me,1993-09-13,In Utero (20th Anniversary Super Deluxe),"130 ContributorsTranslationsРусскийPortuguêsEspañolRape Me Lyrics
Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one

Hate me
Do it and do it again
Waste me
Rape me, my friend

I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one

My favorite inside source
I'll kiss your open sores
I appreciate your concern
You're gonna stink and burn
You might also like
Rape me
Rape me, my friend
Rape me
Rape me again

I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one, ah-ah
I'm not the only one

Rape me! (Rape me!)
Rape me! (Rape me!)
Rape me! (Rape me!)
Rape me! (Rape me!)
Rape me! (Rape me!)
Rape me! (Rape me!)
Rape me!63Embed"
The Man Who Sold the World (Live Acoustic),1994-11-01,MTV Unplugged in New York (Live Acoustic) [25th Anniversary Edition],"88 ContributorsTranslationsفارسیThe Man Who Sold the World (Live Acoustic) Lyrics
We passed upon the stairs
We spoke of was and when
Although I wasn't there
He said I was his friend
Which came as a surprise
I spoke into his eyes
I thought you died alone
A long, long time ago

Oh no, not me
We never lost control
You're face to face
With the man who sold the world

I laughed and shook his hand
And made my way back home
I searched for form and land
For years and years, I roamed
I gazed a gazeless stare
We walked a million hills
I must have died alone
A long, long time ago
You might also like
Who knows? Not me
I never lost control
You're face to face
With the man who sold the world
Who knows? Not me
We never lost control
You're face to face
With the man who sold the world


Thanks, that was a David Bowie song
What's next?
?
I didn't screw it up, did I?
No
Okay, but here's another one I could screw up
What is it?
Am I gonna do this… by myself?
Yeah, you should do it by yourself
Do it by yourself
Okay, well, I think I'll try in a different key, I'll try in a normal key
Yeah
If it sounds bad… these people are just gonna have to wait (*laughter*)
Do you have a smoke?
Okay72Embed"
