title,release_date,album,lyrics
Respect,1967-04-29,Soul Queen,"85 ContributorsRespect Lyrics

What you want, baby, I got it
What you need, do you know I got it?

All I'm askin' is for a little respect when you come home
(Just a little bit) Hey baby
(Just a little bit) when you get home
(Just a little bit) mister
(Just a little bit)

I ain't gonna do you wrong while you're gone
Ain't gon' do you wrong 'cause I don't wanna

All I'm askin' is for a little respect when you come home
(Just a little bit) Baby
(Just a little bit) When you get home
(Just a little bit) Yeah
(Just a little bit)

I'm about to give you all of my money
And all I'm askin' in return, honey
Is to give me my propers when you get home
You might also like
(Just a, just a, just a, just a) Yeah, baby
(Just a, just a, just a, just a) When you get home
(Just a little bit) Yeah
(Just a little bit)


Ooh, your kisses, sweeter than honey
And guess what? So is my money

All I want you to do for me, is give it to me when you get home
(Re, re, re, re) Yeah baby
(Re, re, re, re) Whip it to me
(Respect, just a little bit) When you get home, now
(Just a little bit)

R-E-S-P-E-C-T, find out what it means to me
R-E-S-P-E-C-T, take care of T-C-B

(Sock it to me, sock it to me, sock it to me, sock it to me)
A little respect
(Sock it to me, sock it to me, sock it to me, sock it to me)
Whoa, babe
(Just a little bit) A little respect
(Just a little bit) I get tired
(Just a little bit) Keep on tryin'
(Just a little bit) You're runnin' out of fools
(Just a little bit) And I ain't lyin'
(Just a little bit)
(Re, re, re, re) Start when you come home
(Re, re, re, respect) Or you might walk in
(Just a little bit) And find out I'm gone
(Just a little bit) I gotta have
(Just a little bit) A little respect
(Just a little bit)21Embed"
I Say a Little Prayer,1968-06-14,Soul Queen,"40 ContributorsI Say a Little Prayer Lyrics
(I say a little prayer for you)

The moment I wake up
Before I put on my makeup (Makeup)
I say a little (Prayer for you)
And while I'm combing my hair now
And wondering what dress to wear now (Wear now)
I say a little (Prayer for you)

Forever (Forever), and ever (Yeah)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Ooh-hoo)

I run for the bus, dear
But while riding I think of us, dear (Us, dear)
I say a little (Prayer for you)
And at work I just take time
And all through my coffee break time (Break time)
I say a little (Prayer for you)
You might also like
Forever (Forever), and ever (Ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Nobody but me)
Forever (Ever), and ever (Ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Ooh, ooh-hoo)

My darling, believe me (Believe me)
For me, there is no one but you
Please love me true
I'm in love with you (Answer my prayer)
Answer my prayer, baby (Answer my prayer)
Say you'll love me true (Answer my prayer)
Answer my prayer, baby (Answer my prayer)

(Ey) Forever (Forever), and ever (Ever, ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Oh, nobody but me)
My darling, believe me (Believe me)
For me, there is no one but you
Please love me true

This is my prayer (Answer my prayer, baby)
Answer my prayer now, baby (Answer my prayer, baby)
This is my prayer (Answer my prayer, baby)
Answer it right now, baby (Answer my prayer, baby)
Say you'll love me true (Answer my prayer, baby)
This is my prayer, baby (Answer my prayer, baby)
I'm in love with you (Answer my prayer)10Embed"
Think,1968-05-02,Soul Queen,"29 ContributorsThink Lyrics
You better think (Think)
Think about what you're trying to do to me
Think (Think, think)
Let your mind go, let yourself be free

Let's go back, let's go back
Let's go way on to way back when
I didn't even know you
You couldn't have been too much more than ten (Just a child)
I ain't no psychiatrist, I ain't no doctor with degrees
But it don't take too much high IQ to see what you're doing to me

You better think (Think)
Think about what you're trying to do to me
Yeah, think (Think, think)
Let your mind go, let yourself be free

'Cause freedom (Freedom)
Stands for freedom (Freedom)
Oh, freedom
Yeah, freedom, right now
Freedom (Freedom)
Oh, freedom (Freedom)
You need you some freedom
Oh, freedom, oh, right now
Yeah, think about it!
You, think about it!
You might also like
There ain't nothing you could ask
I could answer you with ""I won't"" (I won't)
But I was gonna change to ""I'm not""
If you keep doing things I don't

You better think (Think)
Think about what you're trying to do to me
Oh oh-oh-oh think (What you're tryna to do to me)
(Think)
Let your mind go, let yourself be free

People walking around everyday
Playing games and taking scores
Trying to make other people lose their minds
Well, be careful you don't lose yours

Oh, think (Think)
Think about what you're trying to do to me
Wooh! Think (Think)
Let your mind go, let yourself be free

You need me (Need me)
And I need you (Don't you know?)
Without each other
There ain't nothing neither can do
Oh, yeah, think about it, baby
(What you're tryin' do to me)
To the bone, baby
Think about it right now
Yeah, right now
(To the bone, for deepness) Oh, right now
(To the bone, for deepness) Yeah, right now
(To the bone, for deepness) You think about it baby, baby, baby
(To the bone, for deepness) Oh, to the bone, baby
(To the bone, for deepness) Yeah, ooh
(To the bone, for deepness)3Embed"
(You Make Me Feel Like) A Natural Woman,,Soul Queen,"26 Contributors(You Make Me Feel Like) A Natural Woman Lyrics
Looking out on the morning rain
I used to feel so uninspired
And when I knew I had to face another day
Lord, it made me feel so tired

Before the day I met you, life was so unkind
But you're the key to my peace of mind

'Cause you make me feel, you make me feel
You make me feel like a natural woman (Woman)

When my soul was in the lost and found
You came along to claim it
I didn't know just what was wrong with me
'Til your kiss helped me name it

Now I'm no longer doubtful of what I'm living for
And if I make you happy, I don't need to do more

'Cause you make me feel, you make me feel
You make me feel like a natural woman (Woman)
You might also like
Oh, baby, what you've done to me? (What you've done to me?)
You made me feel so good inside (Good inside)
And I just wanna be (Wanna be)
Close to you, you make me feel so alive

You make me feel, you make me feel
You make me feel like a natural woman (Woman)
You make me feel, you make me feel
You make me feel like a natural woman (Woman)

You make me feel, you make me feel
You make me feel like a natural woman6Embed"
Chain of Fools,1967-11-22,Soul Queen,"19 ContributorsChain of Fools Lyrics
Chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Chain of fools

For five long years
I thought you were my man
But I found out, love
I'm just a link in your chain, oh
You got me where you want me
I ain't nothing but your fool
You treated me mean, oh
You treated me cruel

Chain, chain, chain (Chain, chain, chain)
Chain of fools

Every chain
Has got a weak link
I might be weak, yeah
But I'll give you strength, oh, hey
You told me to leave you alone (Ooh, ooh, ooh, ooh)
My father said come on home (Ooh, ooh, ooh, ooh)
My doctor said take it easy (Ooh, ooh, ooh, ooh)
Oh, but your loving is much too strong (Ooh, ooh, ooh, ooh)
You might also like
I'm added to your chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Your chain of fools, oh

One of these mornings
The chain is gonna break
But up until the day
I'm gonna take all I can take, oh, yeah

Chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Chain, chain, chain (Chain, chain, chain)
Chain of fools, oh

Chain, chain, chain
Chain, chain, chain, oh
Chain, chain, chain
Your chain of fools, oh yeah
Chain, chain, chain3Embed"
One Step Ahead,1965-01-01,ARETHA,"15 ContributorsOne Step Ahead Lyrics
I'm only one step ahead of heartbreak
One step ahead of misery
One step is all I'd have to take backwards
To be the same old fool for you I used to be

I'm only one step ahead of your arms
One kiss away from your sweet lips
I know I can't afford to stop for one moment
'Cause I'm just out of reach of your fingertips

Your warm breath on my shoulder
Keeps reminding me
That it's too soon to forget you
It's too late to be free, can't you see?

I'm only one step ahead of your love
I try and yet I can't take two
Seems like I'll have to take that one step backwards
'Cause one step ahead is a step too far away from you
'Cause one step ahead is a step too far away from you
Just one step ahead is a step too far away from youYou might also like8Embed"
I Never Loved a Man (The Way I Love You),1967-01-24,Soul Queen,"21 ContributorsI Never Loved a Man (The Way I Love You) Lyrics
You're a no good heartbreaker
You're a liar and you're a cheat
And I don't know why
I let you do these things to me
My friends keep telling me
That you ain't no good
But oh, they don't know
That I'd leave you if I could
I guess I'm uptight
And I'm stuck like glue

'Cause I ain't never
I ain't never, I ain't never, no, no
Loved a man, the way that I, I love you

Some time ago I thought
You had run out of fools
But I was so wrong
You got one that you'll never lose
The way you treat me is a shame
How could you hurt me so bad?
Baby, you know that I'm the best thing
That you ever had
You might also like
Kiss me once again
Don't you never, never say that we we're through

'Cause I ain't never
Never, Never, no, no
Loved a man, the way that I, I love you

I can't sleep at night
And I can't eat a bite
I guess I'll never be free
Since you got, your hooks, in me
Oh, oh, oh, yeah, yeah

I ain't never loved a man
I ain't never loved a man, baby
Ain't never had a man hurt me so bad, no
Well, this is what I'm gonna do about it
I tell you, I'm gonna hold on to it
Yeah, I'm gonna hold on to it, yeah1Embed"
Ain’t No Way,1968-01-22,Soul Queen,"15 ContributorsAin’t No Way Lyrics
Ain't no way for me to love you
If you won't let me
It ain't no way for me to give you all you need
If you won't let me give all of me
I know that a woman's duty
Is to help and love a man
And that's the way it was planned
Oh, but how can I, how can I, how can I
Give you all the things I can
If you're tying both of my hands?

Oh, oh, it ain't no way (Ain't no way)
It ain't no way (Ain't no way)
It just ain't no way, baby (Ain't no way)
Ain't no way, baby (Ain't no way)
It ain't no way for me to love you
If you won't let me

Stop trying to be someone you're not
Hard, cold, and cruel is a man
Who paid too much for what he got
And if you need me like you say, say that you do
Oh, then please, please, please
Don't you know that I need you?
You might also like
Oh, it ain't no way
I tell you that it ain't no way, it ain't no way, it ain't no way, baby, no
It just ain't no way
It sure ain't no way
It ain't no way for me to love you
If you won't let me

Ain't no way
If you won't let me
Ain't no way5Embed"
Rock Steady,1972-01-24,Soul Queen,"12 ContributorsRock Steady Lyrics
Rock steady, baby
That's what I feel now
Let's call this song exactly what it is
Step and move your hips with a feeling from side to side
Sit yourself down in your car and take a ride
And while you're moving rock steady
Rock steady, baby

Let's call this song exactly what it is
(What it is, what it is, what it is)
It's a funky and low down feeling (What it is)
In my hips from left to right (What it is)
What it is is I might be doing (What it is)
This funky dance all night
Oh (Wave your hands up in the air)
Oh (Got the feeling and ain't got a care)
Oh (What fun to take this ride)
(Rock steady will only slide)

Rock steady
Rock steady, baby
Rock steady
Rock steady, baby
You might also like
Step and move your hips with a feeling from side to side
Sit yourself down in your car and take a ride
While you're moving rock steady
Rock steady

Let's call this song exactly what it is
(What it is, what it is, what it is)
It's a funky and low down feeling (What it is)
In my hips from left to right (What it is)
What it is is I might be doing (What it is)
This funky dance all night
Oh (Wave your hands up in the air)
(Got the feeling and ain't got a care)
Oh (What fun to take this ride)
(Rock steady will only slide)

Rock steady, baby
Rock steady, woo
Rock steady

Rock steady
Rock steady
(What it is)
It's a funky and low down feeling (What it is)
In my hips from left to right (What it is)
What it is is I might be doing (What it is)
This funky dance all night
Oh (Wave your hands up in the air)
Oh (Got the feeling and ain't got a care)
Oh (What fun to take this ride)
(Rock steady will only slide)

Rock steady
Steady, baby
Rock
Rock steady, baby
Baby
(What it is)
Baby, baby
(What it is)
Baby
(What it is)
Baby2Embed"
Day Dreaming,,Soul Queen,"21 ContributorsDay Dreaming Lyrics
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Look at my mind floating away

He's the kind of guy that would say
Hey, baby, let's get away
Let's go some place, huh
Where, I don't care
He's the kind of guy that you give your everything
You trust your heart, share all of your love
'Til death do you part
I want to be what he wants
When he wants it and whenever he needs it
And when he's lonesome and feeling love starved
I'll be there to feed it
I'm loving him a little bit more each day
Turns me right on when I hear him say

Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
You might also like
I want to be what he wants when he wants it
And whenever he needs it
And when he's lonesome and feeling love starved
I'll be there to feed it
Loving him a little bit more each day
It turns me right on when I hear him say

Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care

Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Look at my love floating away

Daydreaming (Thinking of you)
Daydreaming (Thinking of you)
Daydreaming
Daydreaming
Day—Embed"
