title,release_date,album,lyrics
All I Want for Christmas Is You,1994-10-29,Greatest Hits,"172 ContributorsTranslationsEspañolTürkçeDeutschFrançais한국어PortuguêsAll I Want for Christmas Is You Lyrics
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah

I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day

I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You, baby
See Mariah Carey LiveGet tickets as low as $35You might also like
Oh, I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click

'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby, all I want for Christmas is you
You, baby

Oh, all the lights are shining
So brightly everywhere (So brightly, baby)
And the sound of children's
Laughter fills the air (Oh, oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa, won't you bring me the one I really need? (Yeah, oh, oh)
Won't you please bring my baby to me?
Oh, I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door

Oh, I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby, all I want for Christmas is you

You, baby
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (Ah, oh, ah, oh)
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (All I really want, baby, ooh)
All I want for Christmas is you, baby (All I want, all I really want is you)115Embed"
We Belong Together,2005-03-29,#1 to Infinity,"89 ContributorsWe Belong Together Lyrics
Sweet love, yeah

I didn't mean it when I said I didn't love you so
I shoulda held on tight, I never shoulda let you go
I didn't know nothin', I was stupid, I was foolish
I was lyin' to myself
I couldn't have fathomed I would ever be without your love
Never imagined I'd be sitting here beside myself
Guess I didn't know you, guess I didn't know me
But I thought I knew everything I never felt

The feelin' that I'm feelin' now that I don't hear your voice
Or have your touch and kiss your lips 'cause I don't have a choice
Oh, what I wouldn't give to have you lyin' by my side
Right here, 'cause, baby (We belong together)

When you left, I lost a part of me (Together)
It's still so hard to believe
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who else am I gon' lean on when times get rough? (Who else)
Who's gonna talk to me on the phone 'til the sun comes up? (Who else)
Who's gonna take your place? There ain't nobody better (Who else)
Oh, baby, baby, we belong together
See Mariah Carey LiveGet tickets as low as $35You might also like
I can't sleep at night when you are on my mind
Bobby Womack's on the radio
Singin' to me, ""If you think you're lonely now""
Wait a minute, this is too deep (Too deep)
I gotta change the station
So I turn the dial, tryna catch a break
And then I hear Babyface, ""I only think of you""
And it's breakin' my heart
I'm tryna keep it together, but I'm fallin' apart

I'm feelin' all out of my element
Throwin' things, cryin'
Tryna figure out where the hell I went wrong
The pain reflected in this song
Ain't even half of what I'm feelin' inside
I need you, need you back in my life, baby (My life, my life)
(We belong together)

When you left, I lost a part of me (Together)
It's still so hard to believe
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who else am I gon' lean on when times get rough? (Who will?)
Who's gonna talk to me on the phone 'til the sun comes up? (Who will?)
Who's gonna take your place? There ain't nobody better (Who will?)
Oh, baby, baby, we belong together, baby
(We belong together) (Who will?)
When you left, I lost a part of me (Who will?)
It's still so hard to believe (Who will?)
Come back, baby, please
(Come back, come back, come back, come back)
'Cause we belong together
Who am I gonna lean on when times get rough? (Who will?)
Who's gon' talk to me 'til the sun comes up? (Who will?)
Who's gon' take your place? There ain't nobody better (Who will?)
Oh, baby, baby, we belong together

(Who will? Who will? Who will?)
We belong together79Embed"
Obsessed,2009-06-16,Memoirs of an Imperfect Angel,"111 ContributorsObsessed Lyrics

I was like, ""Why are you so obsessed with me?""
So, oh, oh-oh-oh (Ay, ay, ay)
So, oh, oh-oh-oh (Ay, ay, ay)
So, oh, oh-oh-oh (Will the real MC please)
So, oh, oh-oh-oh (Step to the mic?)
So, oh, oh-oh-oh (MC, MC)
So, oh, oh-oh-oh (You need a MC)
So, oh, oh-oh-oh (Place to be)
So, oh, oh-oh-oh (MC, the MC)

All up in the blogs saying we met at the bar
When I don't even know who you are
Saying we up in your house, saying I'm up in your car
But you in LA, and I'm out at Jermaine's
I'm up in the A, you so, so lame
And no one here even mentions your name
It must be the weed, it must be the E
'Cause you be popping, heard you get it popping

Ooh-oh, woah
Why you so obsessed with me? Boy, I wanna know
Lying that you're sexing me, when everybody knows
It's clear that you're upset with me, oh
Finally found a girl that you couldn't impress
Last man on the earth, still couldn't get this
You're delusional, you're delusional
Boy, you're losing your mind
It's confusing, yo, you're confused, you know
Why you wasting your time?
Got you all fired up with your Napoleon complex
See right through you like you're bathing in Windex
See Mariah Carey LiveGet tickets as low as $35You might also like
Oh, oh, oh
Boy, why you so obsessed with me?
So, oh, oh-oh-oh (Oh)
So, oh, oh-oh-oh (And all my ladies say)
So, oh, oh-oh-oh
So, oh, oh-oh-oh (And all my girls say)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)

You on your job, you hating hard
Ain't gon' feed you, I'ma let you starve
Grasping for air, I'm ventilation
You out of breath, hope you ain't waiting
Telling the world how much you miss me
But we never were, so why you tripping?
You a mom and pop, I'm a corporation
I'm the press conference, you a conversation

Ooh, woah, woah, woah
Why you so obsessed with me? And boy, I wanna know
Lying that you're sexing me, when everybody knows
It's clear that you're upset with me, oh
Finally found a girl that you couldn't impress
Last man on the earth still couldn't get this
You're delusional, you're delusional
Boy, you're losing your mind (Mind)
It's confusing, yo, you're confused, you know?
Why you wasting your time? (Time)
Got you all fired up with your Napoleon complex
See right through you like you're bathing in Windex
Oh, oh, oh
Boy, why you so obsessed with me?
So, oh, oh-oh-oh (Oh)
So, oh, oh-oh-oh (And all my ladies say)
So, oh, oh-oh-oh (Ooh)
So, oh, oh-oh-oh (And all my girls say)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)
Oh, oh-oh-oh-oh, oh-oh-oh-oh-oh (Obsessed)

Ooh, woah, woah, woah
(Hey, he's all up in my George Foreman)
Why you so obsessed with me? Boy, I wanna know
Lying that you're sexing me, when everybody knows
(Lying that you're sexing Mimi)
It's clear that you're upset with me, oh (Eh)
Finally found a girl that you couldn't impress
Last man on the earth, still couldn't get this (No)
You're delusional, you're delusional (Ah)
(He's all up in my George Foreman)
Boy, you're losing your mind
It's confusing, yo, you're confused, you know?
(But I can't do nothing for him)
Why you wasting your time?
Got you all fired up with your Napoleon complex
See right through you like you're bathing in Windex
(You love me, you love me, you really, really love me)37Embed"
Fantasy,1995-09-12,Greatest Hits,"51 ContributorsFantasy Lyrics
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do

Oh, when you walk by every night
Talking sweet and looking fine
I get kind of hectic inside
Mmm, baby, I'm so into you
Darling, if you only knew
All the things that flow through my mind

But it's just a sweet, sweet fantasy, baby
When I close my eyes, you come and take me
On and on and on, it's so deep in my daydreams
But it's just a sweet, sweet fantasy, baby (Fantasy)
(And I want you so badly)

Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
Sha-do-do-do-do
Sha-do-do-do-do-do-do-do-do
See Mariah Carey LiveGet tickets as low as $35You might also like
Images of rapture
Creep into me slowly
As you're going to my head
And my heart beats faster
When you take me over
Time and time and time again

But it's just a sweet, sweet fantasy, baby
When I close my eyes, you come and take me
On and on and on, it's so deep in my daydreams
But it's just a sweet, sweet fantasy, baby (Fantasy)
Oh, oh, it's just a sweet, sweet fantasy, baby
When I close my eyes, you come and take me
On and on and on, it's so deep in my daydreams
But it's just a sweet, sweet fantasy, baby (Fantasy)

I'm in heaven
With my boyfriend, my laughing boyfriend
There's no beginning and there is no end
Feels like I'm dreaming, but I'm not sleeping

Oh, it's just a sweet, sweet fantasy, baby
When I close my eyes, you come and take me
On and on and on, it's so deep in my daydreams
But it's just a sweet, sweet fantasy, baby
Sweet, sweet fantasy, baby
When I close my eyes, you come and take me
On and on and on, it's so deep in my daydreams
But it's just a sweet, sweet fantasy, baby
Sweet, sweet fantasy, baby
Sweet, sweet fantasy, baby31Embed"
#Beautiful,2013-05-06,Me. I Am Mariah... The Elusive Chanteuse (Deluxe Edition),"39 Contributors#Beautiful Lyrics
Ah, ah, you’re beautiful (Yeah)
Ah, ah, you’re beautiful

Hop on the back of my bike
Let the good wind blow through your hair
With an ass like that and a smile so bright
Oh, you’re killing me, you know it ain’t fair, yeah
Ride on through the middle of the night
Let the moonlight kiss your skin
When you dance like that, your jeans so tight
Oh, you’re killing me, baby, do it again, yeah

You’re beautiful
And your mind is fucking beautiful
And I can’t pretend
That doesn’t mean a thing to me, to me, yeah
You’re beautiful
Good Lord, you’re fucking beautiful
And I can’t pretend
That doesn’t mean a thing to me, to me, yeah, yeah
I like when you run red lights
Don’t stop ’til you thrill me, oh, how you thrill me
Always in control, how you do it, I don’t know
But I don’t care, take me anywhere
See Mariah Carey LiveGet tickets as low as $35You might also like
‘Cause it’s beautiful
Oh, you make me feel undressable
And I can’t pretend
That doesn’t mean a thing to me, to me, oh yeah
You’re beautiful
And your mind is fucking beautiful
And I can’t pretend
That that doesn’t mean a thing to me, to me, yes
You’re beautiful
Good Lord, you’re fucking beautiful (so beautiful)
And I can’t pretend
That doesn’t mean a thing to me, to me, yeah, yeah

Ah, ah, you’re beautiful
Ah, ah, you’re beautiful
You don’t know what you’re doing, darling
Ah, ah, you’re beautiful
Hop on back my bike, darling
Oh-oh, I'll take you
Ah, ah, you’re beautiful
Don’t you worry, darling
Ah, ah, you’re beautiful25Embed"
Hero,1993-10-19,Music Box: 30th Anniversary Edition,"46 ContributorsHero Lyrics
There's a hero
If you look inside your heart
You don't have to be afraid
Of what you are
There’s an answer
If you reach into your soul
And the sorrow that you know
Will melt away

And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you

It's a long road
When you face the world alone
No one reaches out a hand for you to hold
You can find love
If you search within yourself
And the emptiness you felt
Will disappear
See Mariah Carey LiveGet tickets as low as $35You might also like
And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you

Lord knows
Dreams are hard to follow
But don't let anyone
Tear them away
Hold on
There will be tomorrow
In time
You'll find the way

And then a hero comes along
With the strength to carry on
And you cast your fears aside
And you know you can survive
So when you feel like hope is gone
Look inside you and be strong
And you'll finally see the truth
That a hero lies in you
That a hero lies in you
That a hero lies in you23Embed"
Always Be My Baby,1995-10-03,Greatest Hits,"47 ContributorsAlways Be My Baby Lyrics
Do do doop dum
Do do doop do doop da dum
Do do doop dum (Oh ah ah yeah yeah)
Do do doop do doop da dum
Do do doop do do do
Do do doop do doop da dum
Do do doop dum (Baby, baby, baby, baby, baby, baby)
Do do doop do doop da dum

We were as one, babe
For a moment in time
And it seemed everlasting
That you would always be mine
Now you want to be free
So I'll let you fly
'Cause I know in my heart, babe
Our love will never die, no

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on
Time can't erase a feeling this strong
No way you're never gonna shake me
Ooh, darling, 'cause you'll always be my baby
See Mariah Carey LiveGet tickets as low as $35You might also like
Do do doop dum
Do do doop do doop da dum
Do do doop dum
Do do doop do doop da dum (Yes, you will)

I ain't gonna cry, no
And I won't beg you to stay
If you're determined to leave, boy
I will not stand in your way
But inevitably
You'll be back again
'Cause you know in your heart, babe
Our love will never end, no

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on
Time can't erase a feeling this strong
No way you're never gonna shake me
Ooh, darling, 'cause you'll always be my baby
I know that you'll be back, boy
When your days and your nights get a little bit colder, oh
I know that you'll be right back, baby
Oh, baby, believe me, it's only a matter of time, time

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on (And we will linger on and on)
Time can't erase a feeling this strong
No way you're never gonna shake me (Ooh baby)
Ooh, darling, 'cause you'll always be my baby
You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
(You and I) And we'll linger on
Time can't erase a feeling this strong (You and I)
No way you're never going to shake me (you and I)
Ooh, darling, 'cause you'll always be my baby

You and I will always be
No way you're never gonna shake me
No way you're never gonna shake me
You and I will always be35Embed"
One Sweet Day,1995-10-03,Greatest Hits,"36 ContributorsTranslationsTürkçeOne Sweet Day Lyrics
Sorry I've never told you
All I wanted to say
And now it's too late to hold you
'Cause you've flown away, so far away

Never had I imagined
Living without your smile
Feeling and knowing you hear me
It keeps me alive, alive

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together (Together)
One sweet day
(And I'll wait patiently to see you in Heaven)

Darling, I never showed you (No, no, no, no)
Assumed you'd always be there (Always there)
I thought you'd always be there
I, I took your presence for granted
But I always cared (But I always cared)
And I miss the love we shared (Yeah, and I know)
See Mariah Carey LiveGet tickets as low as $35You might also like
And I know you're shining down on me from Heaven
Like so many friends we've lost along the way (Lost along the way)
And I know eventually we'll be together (Oh, no, I know)
One sweet day
(And I'll wait patiently to see you in Heaven)

(Although the sun will never shine the same again)
(I'll always look to a brighter day) Yeah, yeah
Lord, I know when I lay me down to sleep
You will always listen as I pray

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day (One sweet day)
And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together (Yes, we will)
(One sweet day) One sweet day

Sorry, I never told you
All I wanted to say17Embed"
Without You,1993-08-31,Music Box: 30th Anniversary Edition,"33 ContributorsTranslationsPortuguêsWithout You Lyrics
No, I can't forget this evenin', or your face as you were leavin'
But I guess that's just the way the story goes
You always smile, but in your eyes your sorrow shows
Yes, it shows

No, I can't forget tomorrow when I think of all my sorrow
When I had you there, but then I let you go
And now it's only fair that I should let you know
What you should know

I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't give, I can't give anymore

Well, I can't forget this evenin' or your face as you were leavin'
But I guess that's just the way the story goes
You always smile, but in your eyes, your sorrow shows
Yes, it's shows

I can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
I can't live, I can't give anymore
See Mariah Carey LiveGet tickets as low as $35You might also like
No, I can't live, no, I can't live
No, I, no, no, no, no, I
Can't live (No, I can't live) if living is without you (No, I can't live)
I can't live, I can't give anymore
Can't live (No, I can't live, no, I can't live)
No, no, I, no, no, no, no, I10Embed"
Breakdown,1997-09-16,Butterfly (Deluxe Edition),"33 ContributorsTranslationsFrançaisBreakdown Lyrics
Break-breakdown
Steady breaking me on down
Break-breakdown
Steady breaking me on down
Break-breakdown
Steady breaking me on down
Break-breakdown
Steady breaking me on down

You called yesterday to basically say
That you care for me but that you're just not in love
Immediately, I pretended to be feeling similarly
And led you to believe I was okay
To just walk away from the one thing
That's unyielding and sacred to me

Well, I guess I'm trying to be nonchalant about it
And I'm going to extremes to prove I'm fine without you
But in reality I'm slowly losing my mind (losing my mind)
Underneath the guise of a smile gradually I'm dying inside
(Underneath the guise of a smile)
Friends ask me how I feel and I lie convincingly
'Cause I don't want to reveal the fact that that I'm suffering
So I wear my disguise 'til I go home at night
And turn down all the lights and then I break down and cry
See Mariah Carey LiveGet tickets as low as $35You might also like
So, what do you do when somebody you're devoted to
Suddenly just stops loving you and it seems they haven't got a clue
Of the pain that rejection is putting you through
Do you cling to your pride and sing ""I will survive""
(Gotta get control and roll roll roll on)
Do you lash out and say ""How dare you leave this way""
(Gotta get control and roll roll roll on)
(Gotta get control and roll roll roll on)
Do you hold on in vain as they just slip away
(Gotta get control and roll roll roll on)

Well, I guess I'm trying to be nonchalant about it
Break-breakdown
And I'm going to extremes to prove I'm fine without you
Steady breaking me on down
But in reality I'm slowly losing my mind (losing my mind)
Break-breakdown
Underneath the guise of a smile gradually I'm dying inside
(Under the smile)
Steady breaking me on down
Friends ask me how I feel and I lie convincingly
(How do you feel?)
Break-breakdown
'Cause I don't want to reveal the fact that I'm suffering
Steady breaking me on down
So I wear my disguise 'til I go home at night
Break-breakdown
And turn down all the lights and then I break down and cry
Steady breaking me on down
(I cry...)
Yeah
Come on, yeah
Come on, come on

I don't wanna break down
(Breakdown, breakdown)
Break-breakdown
(Gotta get control and roll roll roll on)
I don't wanna break down
(Breakdown, breakdown)
Steady breaking me on down
(Gotta get control and roll roll roll on)
I don't wanna break down
(Breakdown, breakdown)
Break-breakdown
(Gotta get control and roll roll roll on)
I don't wanna break down
(Breakdown, breakdown)
Steady breaking me on down
(Gotta get control and roll roll roll on)

Gonna break you down
Only if you let it
Everyday crazy situations rocking my mind
Trying to break me down
But I won't let it
Forget it
I be feeling like you're breaking me down
Kicking me around, stressing me out
I think you better go and get out
And let me release some stress

Don't ever wanna feel no pain
Hoping for the sun but it looks like rain
Lord, I just wanna maintain

Yeah, I'm feeling pressures y'all
But nevertheless Krayzie won't fall
It's over, it's ending here

Well, I guess I'm trying to be nonchalant about it
(I'm trying)
And I'm going to extremes to prove I'm fine without you
But in reality I'm slowly losing my mind
(I'm gradually dying inside)
Underneath the guise of a smile gradually I'm dying inside
(In my heart as I cry)
Friends ask me how I feel and I lie convincingly
(How do I feel?)
'Cause I don't want to reveal the fact that I'm suffering
(I'm losing my mind)
So I wear my disguise 'til I go home at night
And turn down all the lights and then I break down and cry
(So I breakdown and cry)

Well, I guess I'm trying to be nonchalant about it
Gotta get control and roll roll roll on
And I'm going to extremes to prove I'm fine without you
Gotta get control and roll roll roll on
But in reality I'm slowly losing my mind
Gotta get control and roll roll roll on
Underneath the guise of a smile gradually I'm dying inside
Gotta get control and roll roll roll on
Friends ask me how I feel and I lie convincingly
(How do I feel?)
Gotta get control and roll roll roll on
'Cause I don't want to reveal the fact that I'm suffering
(What do you think? You gotta know I'm suffering, so I...)
Gotta get control and roll roll roll on
So I wear my disguise 'til I go home at night
(I turn off the lights and breakdown and cry)
Gotta get control and roll roll roll on
And turn down all the lights and then I break down and cry
Gotta get control and roll roll roll on

Well, I guess I'm trying to be nonchalant about it
Break-breakdown
(Cry, cry, cry)
And I'm going to extremes to prove I'm fine without you
Steady breaking me on down
But in reality I'm slowly losing my mind
Break-breakdown
(Cry, cry, cry)
Underneath the guise of a smile gradually I'm dying inside
Steady breaking me on down
(Cry, cry, cry)
Friends ask me how I feel and I lie convincingly
Break-breakdown
'Cause I don't want to reveal the fact that I'm suffering
Steady breaking me on down
(Cry, cry, cry)
So I wear my disguise 'til I go home at night
Break-breakdown
And turn down all the lights and then I break down and cry
Steady breaking me on down

I don't wanna break down
Break-breakdown
(Gotta get control and roll roll roll on)
I don't wanna break down
Steady breaking me on down
(Gotta get control and roll roll roll on)7Embed"
