title,release_date,album,lyrics
Work,2016-01-27,ANTI,"341 ContributorsTranslationsEspañolDeutschFrançaisEnglishWork Lyrics
Work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Dry, me ah desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me, you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been, mm
But I wake up and act like nothing's wrong

Just get ready fi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When you ah guh learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn
You might also like
Beg you something, please
Baby, don't you leave
Don't leave me stuck here in the streets, uh-huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe

I haffi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting (Yeah, okay)

You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you (Ah)
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh (Yeah)
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward
And give me all the work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting

Mm
Mm
Work, work, work, work, work, work
Mm
624Embed"
Love on the Brain,2016-01-28,ANTI,"169 ContributorsTranslationsEspañolFrançaisDeutschLove on the Brain Lyrics
And you got me like, oh
What you want from me? (What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like, oh, mmm
You love when I fall apart (Fall apart)
So you can put me together and throw me against the wall

Baby, you got me like, I, woo, I
Don't you stop loving me (Loving me)
Don't quit loving me (Loving me)
Just start loving me, oh (Loving me)

And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (Feeling this way)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (Cursing my name)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain
You might also like
Baby, keep loving me
Just love me, yeah
Just love me
All you need to do is love me, yeah
Got me like, ow
I'm tired of being played like a violin
What do I gotta do to get in your motherfuckin' heart?

Baby, like, I, woo I
Don't you stop loving me (Loving me)
Don't quit loving me (Loving me)
Just start loving me, ooh (Loving me)

And, babe, I'm fist-fighting with fire
Just to get close to you
Can we burn something, babe?
And I'll run for miles just to get a taste
Must be love on the brain
That's got me feeling this way (Feeling this way)
It beats me black and blue, but it fucks me so good
And I can't get enough
Must be love on the brain, yeah
And it keeps cursing my name (Cursing my name)
No matter what I do, I'm no good without you
And I can't get enough
Must be love on the brain
178Embed"
Needed Me,2016-01-28,ANTI,"162 ContributorsTranslationsEspañolFrançaisPortuguêsNeeded Me Lyrics
Mustard on the beat, ho!

I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me
You might also like
You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me284Embed"
Stay,2012-11-19,Unapologetic (Deluxe Version),"107 ContributorsTranslationsFrançaisΕλληνικάDeutschStay Lyrics
All along, it was a fever
A cold sweat, hot-headed believer
I threw my hands in the air, said, ""Show me something""
He said, ""If you dare, come a little closer""

'Round and around and around and around, we go
Oh, now, tell me now, tell me now, tell me now you know

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay
It's not much of a life you're living
It's not just something you take, it's given

'Round and around and around and around, we go
Oh, now, tell me now, tell me now, tell me now you know

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
And I want you to stay
You might also like
Ooh
The reason I hold on
Ooh
'Cause I need this hole gone
Well, funny you're the broken one
But I'm the only one who needed saving
'Cause when you never see the light
It's hard to know which one of us is caving

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
It takes me all the way
I want you to stay
Stay

I want you to stay
Ooh219Embed"
Kiss It Better,2016-01-28,ANTI,"119 ContributorsTranslationsEspañolFrançaisKiss It Better Lyrics
Kiss it, kiss it better, baby
Kiss it, kiss it better, baby

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You yell, but cha take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
You might also like
Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You here, here to take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

I’ve been waitin' up all night
Baby tell me what’s wrong?
You're gonna make it right, make it all night long
I’ve been waiting up all night
Baby, tell me, what’s wrong?
Going to make it right, make it all night long
Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

Kiss it, kiss it better, baby
Kiss it, kiss it better, baby161Embed"
Diamonds,2012-09-27,Unapologetic (Deluxe Version),"127 ContributorsTranslationsPortuguêsΕλληνικάFrançaisالعربيةBahasa IndonesiaDeutschРусскийDiamonds Lyrics
Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea, I choose to be happy
You and I, you and I
We're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
You might also like
Palms rise to the universe as we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see, a vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

So shine bright, tonight, you and I
We're beautiful, like diamonds in the sky
Eye to eye, so alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Woah-oh, yeah
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Shine bright like a diamond91Embed"
Umbrella,2007-03-29,Good Girl Gone Bad (Japanese Deluxe Edition),"142 ContributorsTranslationsPortuguêsUmbrella Lyrics
Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (Good Girl Gone Bad)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

No clouds in my stones
Let it rain, I hydroplane in the bank
Comin' down with the Dow Jones (Ayy, ayy, ayy)
When the clouds come, we go, we Roc-A-Fella (Ayy-ayy-ayy, ayy)
We fly higher than weather, in G5's or better
You know me (You know me)
In anticipation for precipitation, stack chips for the rainy day
Jay, Rain Man is back (Ayy-ayy-ayy, ayy)
With Little Miss Sunshine, Rihanna, where you at?  (Ayy-ayy-ayy, ayy)
You have my heart, and we'll never be worlds apart
May be in magazines but you'll still be my star
Baby, 'cause in the dark, you can't see shiny cars
And that's when you need me there
With you, I'll always share because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy
You might also like
These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together, we'll mend your heart because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy
You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So, gonna let the rain pour
I'll be all you need and more because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come into me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me79Embed"
Sex With Me,2016-01-28,ANTI,"124 ContributorsTranslationsEspañolFrançaisSex With Me Lyrics
Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, so amazing
Sex with me, so amazing

Vodka and water, and a lemon
And a few other things I cannot mention
Oh-na-na-na-na
Five fingers on it (Five fingers)
Hit it like you own it, I'ma hit it like I'm on it
Straight shots of the blue dot
(Shots, shots, shots, shots)
Baby, I'ma pick your poison
Oh-we, ah-yeah, you gon' need it
I'm off that la-la
I'ma get it wet like jacuzzi, ah-yeah

And sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm
You might also like
You know I got the sauce (Sauce), you know I'm saucy
And it's always wet, a bitch never ever had to use lip gloss on it
I'ma need you deeper than six, it's not a coffin
We're not making love, tryna get nasty
Wrap up your drugs, come make me happy
Sex with me is amazing, with her it'll feel alright
The sex doesn't get any better, make it long, let it be all night
I know, I know, I make it hard to let go
Tonight, all night, I'm Monroe
Even if I'm alone

Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

Sex with me, so amazing
Sex with me so amazing
(This is the best there is)101Embed"
Bitch Better Have My Money,2015-03-26,,"170 ContributorsTranslationsEspañolPortuguêsBitch Better Have My Money Lyrics
Yayo, yayo
Mula-la
Yayo

Bitch better have my money
Y'all should know me well enough
Bitch better have my money
Please don't call me on my bluff
Pay me what you owe me
Ballin' bigger than LeBron
Bitch, give me your money
Who y'all think y'all frontin' on?

Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
You might also like
Turn up to Rihanna while the whole club fuckin' wasted
Every time I drop by, I am the only thing y'all playin'
In a drop top, doin' hundred, y'all in my rearview mirror racin'
Where y'all at? Where y'all at? Where y'all at? (Where y'all at?)

Like bra, bra, bra
Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (Bitch better have my)
Bitch better have my (Bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Bitch, bitch, bitch better have my money
Yo, that bitch better have my money
Hold up
My money
Yo, my money
That bitch better have my money
Bitch better have my money780Embed"
Consideration,2016-01-28,ANTI,"116 ContributorsTranslationsEspañolFrançaisConsideration Lyrics
I come flutterin' in from Neverland
Time can never stop me, no, no, no, no
I know you tried to
I come ridin' in on a pale white horse
Handin' out highs to less fortunate
I do advise you
Run it back, run it on back
When you're breakin' it down for me
'Cause I can't hear you
Two times, run it on back
Will it ever make sense to me?

I got to do things my own way, darlin'
Will you ever let me?
Will you ever respect me? No
Do things my own way, darlin'
You should just let me
Why you ain't ever let me grow?
When I look outside my window
I can't get no peace of mind
When I look outside my window
I can't get no peace of mind, oh
You might also like
Let me cover your shit in glitter
I could make it gold, gold
Heard you tryna sell your soul, baby
Word on the street, you run it low lately
I needed you to please give my reflection a break
From the face it's seein' now
Ooh, darlin', would you mind givin' my reflection a break
From the pain it's feelin' now?

I got to do things my own way, darlin'
You should just let me
Will you ever respect me? No
Do things my own way, darlin'
You should just let me
Why you ain't ever let me grow?
When I look outside my window
I can't get no peace of mind
When I look outside my window
I can't get no peace of mind, oh
Get no peace
Get no peace
Get, get, gettin' no peace, oh
Get no peace
Get, g-get no peace, oh135Embed"
