title,release_date,album,lyrics
With Or Without You,1987-03-21,The Best of 1980-1990 & B-Sides,"77 ContributorsTranslationsDeutschWith Or Without You Lyrics
See the stone set in your eyes
See the thorn twist in your side
I'll wait for you

Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I'll wait without you

With or without you
With or without you

Through the storm we reach the shore
You give it all, but I want more
And I'm waiting for you

With or without you
With or without you, ah-hah
I can't live
With or without you

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away
You might also like
My hands are tied
My body bruised
She got me with
Nothing to win and nothing left to lose

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

With or without you
With or without you, oh-oh
I can't live
With or without you

Oh-oh-oh-oh
Oh-oh-oh, oh
Oh-oh-oh-oh
Oh-oh

With or without you
With or without you, oh-oh
I can't live with or without you
With or without you
Hoo-ooh-hoo-ooh
Hoo-ooh-hoo-ooh53Embed"
One,1991-11-18,The Best Of 1990-2000 & B-Sides,"49 ContributorsOne Lyrics
Is it getting better
Or do you feel the same?
Will it make it easier on you
Now you got someone to blame?

You say one love, one life
When it's one need in the night
One love, we get to share it
Leaves you, baby, if you don't care for it

Did I disappoint you
Or leave a bad taste in your mouth?
You act like you never had love
And you want me to go without

Well, it's too late tonight
To drag the past out into the light
We're one, but we're not the same
We get to carry each other, carry each other
One

Have you come here for forgiveness?
Have you come to raise the dead?
Have you come here to play Jesus
To the lepers in your head?
You might also like
Did I ask too much? More than a lot
You gave me nothing, now it's all I got
We're one, but we're not the same
Well, we hurt each other, then we do it again

You say love is a temple, love a higher law
Love is a temple, love the higher law
You ask me to enter but then you make me crawl
And I can't be holding on to what you got
When all you got is hurt

One love, one blood
One life, you got to do what you should
One life with each other
Sisters, brothers
One life, but we're not the same
We get to carry each other, carry each other
One
One

Ooh-ooh-ooh
Oh-ooh
Baby, baby, baby
Higher
Oh, higher (Baby, yeah, yeah)
Higher (Oh)
Higher23Embed"
I Still Haven’t Found What I’m Looking For,1987-05-25,The Best of 1980-1990 & B-Sides,"51 ContributorsI Still Haven’t Found What I’m Looking For Lyrics
I have climbed highest mountain
I have run through the fields
Only to be with you
Only to be with you
I have run, I have crawled
I have scaled these city walls
These city walls
Only to be with you

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for

I have kissed honey lips
Felt the healing fingertips
It burned like fire
This burnin' desire
I have spoke with the tongue of angels
I have held the hand of a devil
It was warm in the night
I was cold as a stone

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for
You might also like
I believe in the Kingdom Come
Then all the colours will bleed into one
Bleed into one
But yes, I'm still runnin'
You broke the bonds and you loosened the chains
Carried the cross of my shame
Of my shame
You know I believe it

But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for
But I still haven't found what I'm lookin' for25Embed"
Sunday Bloody Sunday,1983-03-11,The Best of 1980-1990 & B-Sides,"68 ContributorsSunday Bloody Sunday Lyrics
Yeah, mm-hm

I can't believe the news today
Oh, I can't close my eyes and make it go away

How long? How long must we sing this song?
How long? How long?
'Cause tonight
We can be as one, tonight

Broken bottles under children's feet
Bodies strewn across the dead end street
But I won't heed the battle call
It puts my back up, puts my back up against the wall

Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Oh, let's go
You might also like
And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters torn apart

Sunday, Bloody Sunday
Sunday, Bloody Sunday

How long? How long must we sing this song?
How long? How long?
'Cause tonight
We can be as one, tonight

Sunday, Bloody Sunday (Tonight, tonight)
Sunday, Bloody Sunday (Tonight, tonight)
Come get some

Wipe the tears from your eyes
Wipe your tears away
I'll wipe your tears away
I'll wipe your tears away
Sunday, Bloody Sunday (I'll wipe your bloodshot eyes)
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday, oh
Sunday, Bloody Sunday
Sunday, Bloody Sunday, oh
Yeah, let's go

And it's true we are immune
When fact is fiction and TV reality
And today the millions cry (Sunday, Bloody Sunday)
We eat and drink while tomorrow they die (Sunday, Bloody Sunday)
The real battle just begun (Sunday, Bloody Sunday)
To claim the victory Jesus won (Sunday, Bloody Sunday) on

Sunday, Bloody Sunday, yeah, yeah
Sunday, Bloody Sunday27Embed"
Pride (In the Name of Love),1984-09-04,The Best of 1980-1990 & B-Sides,"25 ContributorsPride (In the Name of Love) Lyrics
One man come in the name of love
One man come and go
One man come, he to justify
One man to overthrow

In the name of love
What more in the name of love
In the name of love
What more in the name of love

One man caught on a barbed wire fence
One man, he resist
One man washed on an empty beach
One man betrayed with a kiss

In the name of love
What more in the name of love
In the name of love
What more in the name of love

You might also like
Early morning, April four
Shot rings out in the Memphis sky
Free at last, they took your life
They could not take your pride

In the name of love
What more in the name of love
In the name of love
What more in the name of love
In the name of love
What more in the name of love
In the name of love
What more in the name of love
15Embed"
Beautiful Day,2000-10-09,All That You Can’t Leave Behind (20th Anniversary Edition / Super Deluxe / Remastered 2020),"77 ContributorsTranslationsPortuguêsBeautiful Day Lyrics
The heart is a bloom, shoots up through the stony ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace

It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you

It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo
You might also like
Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out

It was a beautiful day
Don't let it get away
Beautiful day

Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case
What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day27Embed"
Where the Streets Have No Name,1987-08-07,The Best of 1980-1990 & B-Sides,"44 ContributorsWhere the Streets Have No Name Lyrics
I wanna run, I want to hide
I wanna tear down the walls that hold me inside
I wanna reach out and touch the flame
Where the streets have no name (Ah, ah, ah)

I wanna feel sunlight on my face
I see the dust cloud disappear without a trace
I wanna take shelter from the poison rain
Where the streets have no name, yeah (Oh, huh)

Where the streets have no name
Where the streets have no name
We're still building then burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

The city's a flood, and our love turns to rust
We're beaten and blown by the wind, trampled in dust
I'll show you a place high on a desert plain (Yeah)
Where the streets have no name (Ah, ha)
You might also like
Where the streets have no name
Where the streets have no name
We're still building then burning down love
Burning down love
And when I go there
I go there with you
It's all I can do

Our love turns to rust
We're beaten and blown by the wind
Blown by the wind
Oh, and I see love
See our love turn to rust
Ah, we're beaten and blown by the wind
Blown by the wind
Oh, when I go there
I go there with you
It's all I can do13Embed"
Get Out of Your Own Way,2017-11-01,Songs of Experience,"40 ContributorsGet Out of Your Own Way Lyrics
Get out of your own way, hah, hah
Get out of your own way, hah, hah

Love hurts
Now you're the girl who's left with no words
Your heart's a balloon, but then it bursts
It doesn't take a cannon, just a pin
Your skin's not covering and resistance
Love has got to fight for its existence
The enemy has armies of assistance
The amorous, the glamorous, the kiss
A fist, listen to this, oh

Get out of your own way, oh, ah
Get out of your own way, oh, ah

I could sing it to you all night, all night
If I could, I'd make it alright, alright
Nothing's stopping you except what's inside
I can help you, but it's your fight, your fight

Fight back
Don't take it lying down, you got to bite back
The face of liberty's starting to crack
She had a plan up until she got a smack in the mouth
And it all went south
Like freedom
The slaves are looking for someone to lead them
The master's looking for someone to need him
The promised land is there for those who need it most
And Lincoln's ghost said
You might also like
Get out of your own way, oh, ah
Get out of your own way, oh, ah

I could sing it to you all night, all night
If I could, I'd make it alright, alright
Nothing's stopping you except what's inside
I can help you, but it's your fight, your fight

Get out of your own way
Get out of your own way


Get out of your own way
Get out of your own way
Get out of your own way

Blessed are the arrogant
For their's the kingdom of their own company
Blessed are the superstars
For the magnificence in their light
We understand better our own insignificance
Blessed are the filthy rich
For you can only truly own what you give away
Like your pain13Embed"
Every Breaking Wave,2014-09-09,Songs Of Innocence (Deluxe),"41 ContributorsEvery Breaking Wave Lyrics
Every breaking wave on the shore
Tells the next one there'll be one more
And every gambler knows that to lose
Is what you're really there for
Summer I was fearless
Now I speak into an answer phone
Like every falling leaf on the breeze
Winter wouldn't leave it alone, alone

If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

Every sailor knows that the sea
Is a friend made enemy
And every shipwrecked soul knows what it is
To live without intimacy
I thought I heard the captain's voice
But it's hard to listen while you preach
Like every broken wave on the shore
This is as far as I could reach
You might also like
If you go
If you go your way and I go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?

The sea knows where are the rocks
And drowning is no sin
You know where my heart is
The same place that yours has been
We know that we fear to win
And so we end before we begin
Before we begin

If you go
If you go your way and I'll go mine
Are we so
Are we so helpless against the tide?
Baby, every dog on the street
Knows that we're in love with defeat
Are we ready to be swept off our feet
And stop chasing
Every breaking wave?66Embed"
New Year’s Day,1983-02-28,The Best of 1980-1990 & B-Sides,"36 ContributorsNew Year’s Day Lyrics
Yeah

All is quiet on New Year's Day
A world in white gets underway
I want to be with you, be with you night and day
Nothing changes on New Year's Day
On New Year's Day

I will be with you again
I will be with you again

Under a blood red sky
A crowd has gathered in black and white
Arms entwined, the chosen few
The newspaper says, says

Say it's true, it's true
And we can break through
Though torn in two
We can be one
You might also like
I, I will begin again
I, I will begin again

Yeah, oh, oh-oh-oh


Oh-oh, oh-oh, oh-oh
Oh-oh, oh-oh, oh-oh
Oh, maybe the time is right
Oh, maybe tonight

I will be with you again
I will be with you again

And so we're told this is the golden age
And gold is the reason for the wars we wage
Though I want to be with you, be with you night and day
Nothing changes New Year's Day

On New Year's Day
On New Year's Day
On New Year's Day9Embed"
